"id";"nombre";"variantes"
"1";"3D Printers";"UNICA"
"2";"3D Printing & Scanning";"UNICA"
"3";"Abrasive & Finishing Products";"UNICA"
"4";"Action Cameras";"Negro,Plata,Azul,Rojo"
"5";"Adapters";"UNICA"
"6";"Agricultural Equipment & Supplies";"UNICA"
"7";"Alexa Built-In Devices";"Negro,Blanco,Gris,Azul"
"8";"Art & Craft Supplies";"UNICA"
"9";"Arts & Crafts";"UNICA"
"10";"Baby";"0-3M,3-6M,6-9M,9-12M,12-18M,18-24M"
"11";"Baby & Toddler Toys";"UNICA"
"12";"Bakeware";"UNICA"
"13";"Ballet & Dancing Footwear";"35,36,37,38,39,40,41"
"14";"Barebone PCs";"UNICA"
"15";"Basketball Footwear";"40,41,42,43,44,45,46"
"16";"Bass Guitars & Gear";"Negro,Sunburst,Rojo,Azul,Natural"
"17";"Bath & Body";"UNICA"
"18";"Bathroom Furniture";"UNICA"
"19";"Bathroom Lighting";"UNICA"
"20";"Bathroom Linen";"Blanco,Gris,Azul,Verde,Rosa,Negro,Beige"
"21";"Beauty";"UNICA"
"22";"Bedding & Linen";"90x200,105x200,135x190,150x200,160x200,180x200,200x200"
"23";"Bedding Accessories";"90x200,105x200,135x190,150x200,160x200,180x200,200x200"
"24";"Bedding Collections";"90x200,105x200,135x190,150x200,160x200,180x200,200x200"
"25";"Bedroom Furniture";"Blanco,Negro,Roble,Gris,Nogal"
"26";"Beer, Wine & Spirits";"UNICA"
"27";"Billiard, Snooker & Pool";"UNICA"
"28";"Binoculars, Telescopes & Optics";"UNICA"
"29";"Bird & Wildlife Care";"UNICA"
"30";"Birthday Gifts";"UNICA"
"31";"Blank Media Cases & Wallets";"UNICA"
"32";"Boating Footwear";"38,39,40,41,42,43,44"
"33";"Bowling";"UNICA"
"34";"Boxes & Organisers";"UNICA"
"35";"Boxing Shoes";"40,41,42,43,44,45,46"
"36";"Boys";"4,6,8,10,12,14,16"
"37";"Building & Construction Toys";"UNICA"
"38";"Building Supplies";"UNICA"
"39";"CD, Disc & Tape Players";"Negro,Plata,Blanco"
"40";"CPUs";"UNICA"
"41";"Cables & Accessories";"Negro,Blanco,Gris,Rojo"
"42";"Calendars & Personal Organisers";"UNICA"
"43";"Camcorders";"Negro,Plata"
"44";"Camera & Photo Accessories";"Negro,Plata,Gris"
"45";"Cameras";"Negro,Plata,Rojo,Azul,Dorado"
"46";"Candles & Holders";"Blanco,Negro,Rosa,Crema,Rojo,Verde,Azul,Naranja"
"47";"Car & Motorbike";"UNICA"
"48";"Car & Vehicle Electronics";"Negro,Plata"
"49";"Children's Bedding";"90x200,105x200,135x190,150x200,160x200,180x200"
"50";"Climbing Footwear";"38,39,40,41,42,43,44"
"51";"Clocks";"Negro,Blanco,Plata,Dorado,Madera"
"52";"Coffee & Espresso Machines";"Negro,Plata,Blanco,Rojo"
"53";"Coffee, Tea & Espresso";"UNICA"
"54";"Computer & Server Racks";"Negro,Gris,Plata"
"55";"Computer Audio & Video Accessories";"Negro,Plata,Blanco"
"56";"Computer Cases";"Negro,Blanco,Gris"
"57";"Computer Memory";"UNICA"
"58";"Computer Memory Card Accessories";"UNICA"
"59";"Computer Printers";"Negro,Blanco,Gris"
"60";"Computer Screws";"UNICA"
"61";"Computers, Components & Accessories";"Negro,Plata,Blanco,Gris"
"62";"Construction Machinery";"UNICA"
"63";"Cookware";"Negro,Rojo,Azul,Verde,Gris,Acero"
"64";"Cricket Shoes";"40,41,42,43,44,45,46"
"65";"Curtain & Blind Accessories";"Blanco,Negro,Beige,Gris,Crema"
"66";"Cushions & Accessories";"Gris,Azul,Verde,Rosa,Amarillo,Negro,Blanco,Beige"
"67";"Customers' Most Loved";"UNICA"
"68";"Cutting Tools";"UNICA"
"69";"Cycling Shoes";"38,39,40,41,42,43,44"
"70";"DJ & VJ Equipment";"UNICA"
"71";"Darts & Dartboards";"UNICA"
"72";"Data Storage";"Negro,Plata,Azul,Rojo"
"73";"Decking & Fencing";"UNICA"
"74";"Decorative Artificial Flora";"Verde,Blanco,Rosa,Rojo,Naranja,Morado"
"75";"Decorative Home Accessories";"Blanco,Negro,Dorado,Plata,Beige,Gris"
"76";"Desktop PCs";"Negro,Plata,Blanco"
"77";"Digital Cameras";"Negro,Plata,Rojo,Azul,Dorado"
"78";"Digital Frames";"Negro,Blanco,Plata,Madera"
"79";"Dining Room Furniture";"Blanco,Negro,Roble,Nogal,Gris"
"80";"Dolls & Accessories";"UNICA"
"81";"Doormats";"UNICA"
